,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Taoudenni,22.6783,-3.9836,113.99,6,16,10.8,ML,1627235502
1,Albany,42.6001,-73.9662,82.27,74,94,6.62,US,1627235589
2,Tabuk,17.4189,121.4443,76.78,78,100,2.84,PH,1627235589
3,Barrow,71.2906,-156.7887,39.2,91,100,12.53,US,1627235589
4,Fortuna,40.5982,-124.1573,59.67,96,90,0.0,US,1627235590
5,Ust-Maya,60.4167,134.5333,54.27,90,42,2.64,RU,1627235590
6,Arraial do Cabo,-22.9661,-42.0278,78.76,69,0,19.57,BR,1627235590
7,Cape Town,-33.9258,18.4232,62.28,49,0,2.3,ZA,1627235590
8,Esperance,-33.8667,121.9,53.44,83,4,17.49,AU,1627235346
9,Mount Darwin,-16.7725,31.5838,52.11,74,11,7.81,ZW,1627235591
10,Rikitea,-23.1203,-134.9692,70.34,65,97,3.91,PF,1627235591
11,Gamba,-2.65,10.0,72.1,85,87,6.78,GA,1627235591
12,Dandong,40.1292,124.3947,73.63,86,57,1.61,CN,1627235592
13,Vaini,-21.2,-175.2,68.16,94,55,0.0,TO,1627235306
14,Busselton,-33.65,115.3333,58.08,66,44,19.44,AU,1627235486
15,New Norfolk,-42.7826,147.0587,42.3,69,74,4.0,AU,1627235592
16,Hermanus,-34.4187,19.2345,53.8,55,100,7.9,ZA,1627235592
17,Ancud,-41.8697,-73.8203,44.13,61,17,10.31,CL,1627235593
18,São Filipe,14.8961,-24.4956,74.25,73,56,7.7,CV,1627235437
19,Ushuaia,-54.8,-68.3,35.26,93,90,26.46,AR,1627235593
20,Marang,5.2056,103.2059,82.31,82,50,2.86,MY,1627235593
21,Nanortalik,60.1432,-45.2371,45.28,74,100,12.97,GL,1627235594
22,Hobart,-42.8794,147.3294,42.66,74,67,1.01,AU,1627235594
23,Atuona,-9.8,-139.0333,77.38,72,52,23.67,PF,1627235492
24,Lompoc,34.6391,-120.4579,76.69,82,90,0.0,US,1627235317
25,Saint Paul Harbor,57.79,-152.4072,50.36,91,70,1.28,US,1627235594
26,Cabedelo,-6.9811,-34.8339,77.67,70,8,15.48,BR,1627235424
27,Kincardine,56.0667,-3.7167,77.38,67,5,5.88,GB,1627235595
28,Rodolfo Sánchez Taboada,31.7167,-116.5667,73.18,86,100,7.27,MX,1627235595
29,Norman Wells,65.282,-126.8329,62.64,48,20,8.05,CA,1627235595
30,Butaritari,3.0707,172.7902,81.95,76,18,10.31,KI,1627235595
31,Raudeberg,61.9875,5.1352,74.98,86,19,10.2,NO,1627235596
32,Punta Arenas,-53.15,-70.9167,41.11,70,20,16.11,CL,1627235480
33,Villazón,-22.0866,-65.5942,56.66,19,97,18.37,BO,1627235596
34,Entre Rios,-11.9419,-38.0844,76.75,63,62,8.88,BR,1627235596
35,Oktyabr'skoye,43.0645,44.7417,68.14,88,75,13.42,RU,1627235596
36,Avera,33.194,-82.5271,89.71,50,93,3.49,US,1627235359
37,Avarua,-21.2078,-159.775,71.65,94,75,4.61,CK,1627235484
38,São João da Barra,-21.6403,-41.0511,77.09,60,0,14.61,BR,1627235597
39,San Patricio,28.017,-97.5169,94.01,44,4,10.49,US,1627235597
40,Hamilton,39.1834,-84.5333,90.66,70,78,1.99,US,1627235597
41,Walvis Bay,-22.9575,14.5053,83.35,10,5,10.36,NA,1627235598
42,Saldanha,-33.0117,17.9442,60.85,54,100,11.3,ZA,1627235598
43,Boa Vista,2.8197,-60.6733,85.98,62,75,3.44,BR,1627235598
44,Salinas,36.6777,-121.6555,77.04,72,40,3.44,US,1627235565
45,Jinchang,38.4953,102.1739,74.71,35,74,7.02,CN,1627235599
46,Tasiilaq,65.6145,-37.6368,39.65,87,66,5.1,GL,1627235599
47,Killybegs,54.6333,-8.45,65.91,70,2,9.75,IE,1627235599
48,Rio Grande,-32.035,-52.0986,75.31,70,87,5.73,BR,1627235320
49,Mataura,-46.1927,168.8643,47.48,88,100,4.59,NZ,1627235308
50,Verkhnyaya Inta,65.9811,60.3094,48.7,87,100,17.49,RU,1627235600
51,Puerto Ayora,-0.7393,-90.3518,78.76,84,38,5.99,EC,1627235555
52,George Town,5.4112,100.3354,83.89,83,20,2.3,MY,1627235503
53,Kenai,60.5544,-151.2583,57.29,80,90,8.05,US,1627235600
54,Port Elizabeth,-33.918,25.5701,55.69,82,0,1.14,ZA,1627235307
55,Arvika,59.6553,12.5852,79.5,43,31,3.8,SE,1627235600
56,Carnarvon,-24.8667,113.6333,55.47,72,0,5.75,AU,1627235601
57,New Waterford,40.8451,-80.6145,87.03,56,85,1.99,US,1627235601
58,Vila,42.0304,-8.1588,67.23,73,42,7.45,PT,1627235601
59,Vardø,70.3705,31.1107,50.2,93,75,19.57,NO,1627235437
60,Port Hardy,50.6996,-127.4199,59.18,88,75,2.3,CA,1627235602
61,Klaksvík,62.2266,-6.589,52.72,96,100,12.55,FO,1627235587
62,Brigantine,39.4101,-74.3646,88.29,70,40,18.41,US,1627235602
63,Effingham County,32.3669,-81.3332,90.86,59,92,5.21,US,1627235602
64,Estelle,29.8458,-90.1067,95.04,60,1,8.05,US,1627235603
65,Coquimbo,-29.9533,-71.3436,60.53,63,0,13.8,CL,1627235375
66,Mount Isa,-20.7333,139.5,44.37,49,4,2.3,AU,1627235552
67,Grand Gaube,-20.0064,57.6608,72.0,59,0,8.99,MU,1627235603
68,Dolores,-36.3132,-57.6792,61.45,75,97,11.43,AR,1627235603
69,Rūdbār,30.15,62.6,99.46,11,2,17.34,AF,1627235603
70,Lebu,-37.6167,-73.65,51.17,89,89,4.5,CL,1627235600
71,Kasongo,-4.45,26.6667,80.49,30,23,6.13,CD,1627235604
72,Portland,45.5234,-122.6762,80.62,59,1,1.99,US,1627234992
73,Mopti,14.6667,-4.0,91.99,44,33,12.71,ML,1627235604
74,Mīnāb,27.1467,57.0801,94.5,47,17,2.89,IR,1627235605
75,Kieta,-6.2167,155.6333,78.12,83,76,1.52,PG,1627235397
76,Comodoro Rivadavia,-45.8667,-67.5,49.86,46,0,12.66,AR,1627235605
77,Cotonou,6.3654,2.4183,80.58,74,20,16.11,BJ,1627235605
78,Saskylakh,71.9167,114.0833,52.66,82,40,7.96,RU,1627235485
79,Rome,43.2128,-75.4557,84.06,61,75,1.01,US,1627235533
